date,ic,rolling_3m_mean,rolling_3m_std,rolling_3m_ir,rolling_3m_win_rate,rolling_6m_mean,rolling_6m_std,rolling_6m_ir,rolling_6m_win_rate
2024-01-31,-0.08353081818501458,0.06094927510753256,0.20186595803911406,0.30192943723439924,0.3333333333333333,0.04464373615555008,0.153274674281357,0.29126622754128506,0.3333333333333333
2024-02-29,0.12240251749235259,0.004550062702905436,0.10614562942124556,0.04286622753771828,0.3333333333333333,0.07630064578132507,0.1448545094256072,0.5267398721923167,0.5
2024-03-31,-0.038955205513167605,-2.7835401943197835e-05,0.10834500354715952,-0.00025691449565629364,0.3333333333333333,0.07400276009985583,0.14688125138900085,0.5038271351860057,0.5
2024-04-30,-0.0906244506170669,-0.0023923795459606426,0.11112044126759096,-0.021529608042137938,0.3333333333333333,0.02927844778078595,0.14980886675125105,0.1954386840760308,0.3333333333333333
2024-05-31,-0.1202524524454133,-0.08327736952521593,0.04114359354891527,-2.0240665032384246,0.0,-0.03936365341115526,0.08659083860129686,-0.45459374279077275,0.16666666666666666
2024-06-30,-0.027803171477796134,-0.07956002484675877,0.04720734610288299,-1.6853314455205093,0.0,-0.039793930124351,0.08651288964801915,-0.45997689230187616,0.16666666666666666
2024-07-31,-0.02564959038008509,-0.05790173810109817,0.05400803794178163,-1.0720948271350608,0.0,-0.03014705882352942,0.08384649615869968,-0.35955060980090153,0.16666666666666666
2024-08-31,-0.09776379170915227,-0.05040551785567784,0.04102760113230661,-1.2285757993290698,0.0,-0.0668414436904469,0.04092177082643416,-1.6333956801123928,0.0
2024-09-30,0.027934144369044685,-0.03182641257339756,0.06307620496578326,-0.5045708217649164,0.3333333333333333,-0.05569321871007818,0.05627082535190146,-0.9897352377859913,0.16666666666666666
2024-10-31,0.1225370064343729,0.01756911969808844,0.11051554514180678,0.1589741938615497,0.6666666666666666,-0.020166309201504876,0.08809640551809221,-0.22891182770633423,0.3333333333333333
2024-11-30,-0.05317587285960409,0.03243175931460449,0.08794273928297806,0.36878268267545183,0.6666666666666666,-0.008986879270536674,0.07632483295495655,-0.1177451547891408,0.3333333333333333
2024-12-31,0.07005994866565873,0.046473694080142514,0.09019970920947888,0.515231085415281,0.6666666666666666,0.0073236407533724705,0.08176252246800313,0.08957209895571039,0.5
2025-01-31,-0.05771685243134911,-0.013610925541764823,0.07249666555672513,-0.18774553887743892,0.3333333333333333,0.0019790970781618004,0.08531963115415768,0.02319626856550654,0.5
2025-02-28,-0.1957605217819345,-0.061139141849208295,0.13294327615900578,-0.4598889362112853,0.3333333333333333,-0.014353691267301906,0.11309195413810741,-0.1269205345039245,0.5
2025-03-31,-0.1239478218065469,-0.12580839867327684,0.06904064000030151,-1.8222368545935759,0.0,-0.03966735229656717,0.11859753307004163,-0.33447029857813587,0.3333333333333333
2025-04-30,-0.13685788122780493,-0.1521887416054288,0.03828240365203635,-3.9754228336530657,0.0,-0.08289983357359682,0.09192206976554004,-0.9018490748200547,0.16666666666666666
2025-05-31,-0.04257761682078689,-0.10112777328504624,0.051115144771946765,-1.9784307319530008,0.0,-0.08113345756712728,0.09270596676380681,-0.8751697479606293,0.16666666666666666
2025-06-30,-0.12420009844942159,-0.1012118654993378,0.05117163476761156,-1.977890015806151,0.0,-0.11351013208630734,0.055996029357708886,-2.0271103752945043,0.0
2025-07-31,-0.13257972645124996,-0.09978581390715281,0.049720598364929765,-2.006931074617484,0.0,-0.1259872777562908,0.048978486929087815,-2.5722982814617787,0.0
