date,feature,ic
2023-03-31,Beta_12,-0.34201329067191727
2023-03-31,High52W,0.1314053943702333
2023-03-31,Trend_MA,0.0129680742589923
2023-03-31,MaxRet_1M,-0.3119000738370662
2023-03-31,PB_ratio,
2023-03-31,PE_TTM,
2023-03-31,EV_EBITDA,
2023-03-31,ROE,
2023-03-31,GrossMargin,
2023-03-31,CashFlowYield,
2023-03-31,RevGrowth_YoY,
2023-03-31,EarnGrowth_YoY,
2023-03-31,LogMktCap,
2023-03-31,VolRatio,0.01687176962835343
2023-04-30,Mom_12_1,-0.21594880630076296
2023-04-30,Mom_6_1,0.04880717977567596
2023-04-30,Mom_1,0.28030747863999156
2023-04-30,Vol_12,0.22762297387574276
2023-04-30,IdioVol,0.03811047431524911
2023-04-30,Beta_12,0.22135033929889947
2023-04-30,High52W,0.06350944657523158
2023-04-30,Trend_MA,0.1764459758798917
2023-04-30,MaxRet_1M,0.14187001160296753
2023-04-30,PB_ratio,
2023-04-30,PE_TTM,
2023-04-30,EV_EBITDA,
2023-04-30,ROE,
2023-04-30,GrossMargin,
2023-04-30,CashFlowYield,
2023-04-30,RevGrowth_YoY,
2023-04-30,EarnGrowth_YoY,
2023-04-30,LogMktCap,
2023-04-30,VolRatio,-0.26231408881544244
2023-05-31,Mom_12_1,-0.005200239091452481
2023-05-31,Mom_6_1,0.07355402412010828
2023-05-31,Mom_1,-0.07871382862768539
2023-05-31,Vol_12,0.23370837874898914
2023-05-31,IdioVol,
2023-05-31,Beta_12,0.25767817587285957
2023-05-31,High52W,
2023-05-31,Trend_MA,
2023-05-31,MaxRet_1M,0.0741209873070567
2023-05-31,PB_ratio,
2023-05-31,PE_TTM,
2023-05-31,EV_EBITDA,
2023-05-31,ROE,
2023-05-31,GrossMargin,
2023-05-31,CashFlowYield,
2023-05-31,RevGrowth_YoY,
2023-05-31,EarnGrowth_YoY,
2023-05-31,LogMktCap,
2023-05-31,VolRatio,-0.12744189726099645
2023-06-30,Mom_12_1,-0.3335360922611722
2023-06-30,Mom_6_1,-0.27799919130832246
2023-06-30,Mom_1,-0.1388681832565662
2023-06-30,Vol_12,0.2858100980978165
2023-06-30,IdioVol,0.2635587707886502
2023-06-30,Beta_12,0.21987271896206179
2023-06-30,High52W,-0.3233143428601135
2023-06-30,Trend_MA,-0.2795655919271474
2023-06-30,MaxRet_1M,0.2523047712808973
2023-06-30,PB_ratio,
2023-06-30,PE_TTM,
2023-06-30,EV_EBITDA,
2023-06-30,ROE,
2023-06-30,GrossMargin,
2023-06-30,CashFlowYield,
2023-06-30,RevGrowth_YoY,
2023-06-30,EarnGrowth_YoY,
2023-06-30,LogMktCap,
2023-06-30,VolRatio,0.0493319503533631
2023-07-31,Mom_12_1,0.15865827502549135
2023-07-31,Mom_6_1,0.05770015119018319
2023-07-31,Mom_1,-0.018570901163812804
2023-07-31,Vol_12,-0.23134998769382226
2023-07-31,IdioVol,-0.2523856404486481
2023-07-31,Beta_12,-0.0778409690235927
2023-07-31,High52W,0.15448378144722288
2023-07-31,Trend_MA,0.11023610280932457
2023-07-31,MaxRet_1M,-0.2385491016490278
2023-07-31,PB_ratio,
2023-07-31,PE_TTM,
2023-07-31,EV_EBITDA,
2023-07-31,ROE,
2023-07-31,GrossMargin,
2023-07-31,CashFlowYield,
2023-07-31,RevGrowth_YoY,
2023-07-31,EarnGrowth_YoY,
2023-07-31,LogMktCap,
2023-07-31,VolRatio,0.03471836433318097
2023-08-31,Mom_12_1,-0.08922682043528707
2023-08-31,Mom_6_1,-0.1643006575014943
2023-08-31,Mom_1,0.09966245912590978
2023-08-31,Vol_12,-0.15121831159241936
2023-08-31,IdioVol,-0.1235012833585317
2023-08-31,Beta_12,-0.13040680707429414
2023-08-31,High52W,-0.007616585986745973
2023-08-31,Trend_MA,-0.1363621180689849
2023-08-31,MaxRet_1M,-0.0953719981716536
2023-08-31,PB_ratio,
2023-08-31,PE_TTM,
2023-08-31,EV_EBITDA,
2023-08-31,ROE,
2023-08-31,GrossMargin,
2023-08-31,CashFlowYield,
2023-08-31,RevGrowth_YoY,
2023-08-31,EarnGrowth_YoY,
2023-08-31,LogMktCap,
2023-08-31,VolRatio,-0.0055448120670862485
2023-09-30,Mom_12_1,0.03603336732182413
2023-09-30,Mom_6_1,0.056606659400161734
2023-09-30,Mom_1,0.29380032347667095
2023-09-30,Vol_12,-0.33544354980485913
2023-09-30,IdioVol,-0.2596304630638866
2023-09-30,Beta_12,-0.25540680707429414
2023-09-30,High52W,0.22004651833190852
2023-09-30,Trend_MA,0.12094159839668084
2023-09-30,MaxRet_1M,-0.19900407861889524
2023-09-30,PB_ratio,
2023-09-30,PE_TTM,
2023-09-30,EV_EBITDA,
2023-09-30,ROE,
2023-09-30,GrossMargin,
2023-09-30,CashFlowYield,
2023-09-30,RevGrowth_YoY,
2023-09-30,EarnGrowth_YoY,
2023-09-30,LogMktCap,
2023-09-30,VolRatio,-0.12327801413452409
2023-10-31,Mom_12_1,0.07347667100312927
2023-10-31,Mom_6_1,0.07266710031292851
2023-10-31,Mom_1,-0.2498118912837101
2023-10-31,Vol_12,0.3376551457403045
2023-10-31,IdioVol,
2023-10-31,Beta_12,0.2238432192960866
2023-10-31,High52W,
2023-10-31,Trend_MA,
2023-10-31,MaxRet_1M,0.13094827889314722
2023-10-31,PB_ratio,
2023-10-31,PE_TTM,
2023-10-31,EV_EBITDA,
2023-10-31,ROE,
2023-10-31,GrossMargin,
