params,score
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.04989695734070821
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.052898293572757916
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.05156219528346787
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.050639052614807674
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.054983924054027335
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.048493119591166665
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.060127725455156794
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.06093581754120656
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.06480635328739413
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06925328715551421
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.058143536912036116
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.07059954189226891
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06671006995386324
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06925176698068654
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06868283214614825
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07133111625241935
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07321247355601772
"{'learning_rate': 0.01, 'num_leaves': 15, 'max_depth': 7, 'min_data_in_leaf': 50, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.06933076734526859
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.05632474635290388
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.05760646157589677
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.05654900956628917
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06342526675803432
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.05807614032179237
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.06210923868095563
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 3, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07172697613658728
